23732,762;23575,879;23398,22636;;;sources
;;;;;
31;26;17;;;22965
30;24;16;;;18742
29;22;15;;;824
28;20;14;;;18415
27;19;12;;;18544
;25;10;;;879
;23;8;;;21550
;21;;;;18605
;1;;;;23062
;2;;;;18471
;3;13;;;880
;4;11;;;
;5;9;;;
;6;7;;;
