,x,y,radius,t,folder,datetime
0_64,12152.166668039008,41631.80594458526,13.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
1_63,11897.474110311437,41576.841823324794,18.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
1_64,14753.109399788802,3932.1337906394365,14.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_65,15493.513314943271,9006.917191774502,26.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_66,14971.54908729165,9175.53084572117,19.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_67,14710.335542705207,7643.669542144711,28.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_68,14351.891855759393,10484.628599427417,29.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_69,14182.162926997014,8104.4926277477,28.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_71,15600.482628527909,11584.447383556651,26.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_72,15251.40576774443,12833.36319677905,27.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_73,15115.96143462692,11524.875919703178,20.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_74,15039.588459935496,10638.085816953146,21.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_75,14831.79673290132,12690.861040105137,19.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_76,14424.848050083965,10927.88671611772,20.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_77,14356.746275436532,10499.927485466354,22.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
1_77,13624.341153219511,10605.603533667345,14.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_78,12773.093064827097,11083.132788448944,29.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_79,15069.681593415688,16410.477345753254,27.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_80,14199.88598556835,14349.831674141276,26.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_82,15564.967099850908,20348.309001398124,30.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_83,15065.10793141023,23978.84772828622,16.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_84,15023.75572473662,23922.368167193992,29.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_85,14382.370735905246,23489.753557600594,29.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_86,13981.847482310872,21607.630396592074,23.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_87,13477.48159029714,22344.437605924482,27.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_88,13472.562861683109,22434.67283369085,37.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_89,13354.784091859216,24104.834893641222,26.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_91,15563.893966168986,26530.4242631159,31.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_92,14926.26649945776,24670.09829760143,24.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_93,14600.06846575376,24431.272565241172,22.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_94,14529.777632298068,27352.03056254104,34.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_95,13477.417718913392,25400.09104112965,29.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_96,13388.240218593373,27811.828690625138,37.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_98,15865.47343929147,31365.242107371996,27.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_99,15689.922730950675,32522.672137275014,30.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_100,13980.35841418147,32781.86959534704,27.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_101,13516.882336249972,38166.1415033912,30.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_102,13547.835065431991,40590.20028563643,14.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
1_100,13293.133230303125,42472.076982856015,16.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
1_101,17186.89200676256,10142.926517125143,24.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_103,16612.176659388468,7665.292436574338,25.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_104,16589.786456922076,8034.334202405639,21.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_105,16543.326946835954,9678.136264073955,23.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_106,16367.66728242532,9341.326337330232,36.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_107,16278.14106084218,7652.513725352396,18.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_108,15865.40868188419,9958.885684320046,26.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_109,16631.61679675878,11166.950468137306,23.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
1_109,16417.092615045054,12550.771710945435,29.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
